volt_V1,volt_V2,volt_V3,current_A1,current_A2,current_A3,power_kW,power_factor,motor_temp_C
395.77,401.15,397.2,23.49,22.97,22.99,14.38,0.899,61.66
397.63,399.13,402.21,22.23,22.82,22.06,14.06,0.91,64.09
401.32,403.97,396.19,25.17,23.16,23.66,13.21,0.917,64.49
398.85,403.67,400.18,25.28,23.17,23.62,13.71,0.902,62.61
397.63,398.75,399.03,25.18,23.88,24.02,14.55,0.921,62.37
399.76,396.82,398.23,21.64,22.15,23.55,13.83,0.905,63.13
400.26,397.23,395.34,24.33,23.16,22.32,13.04,0.9,64.08
404.74,397.35,400.19,22.3,20.64,24.82,13.23,0.883,63.26
400.91,397.54,397.29,23.22,24.03,23.57,14.3,0.922,63.07
395.04,399.35,399.25,22.04,26.34,22.09,14.41,0.903,63.87
400.64,401.79,401.74,23.93,23.23,23.98,14.13,0.9,61.84
399.27,404.11,393.76,22.02,21.35,23.64,13.87,0.886,63.11
400.94,399.68,401.8,23.87,22.83,22.28,13.3,0.913,62.38
400.99,398.11,402.77,22.96,23.48,24.25,12.39,0.898,64.08
400.19,398.73,397.79,23.88,22.42,21.26,14.01,0.93,62.12
397.12,402.67,402.36,25.33,21.09,23.43,12.32,0.91,61.71
402.22,396.56,403.79,23.4,22.95,23.66,15.4,0.9,63.21
406.37,406.17,401.44,21.73,22.32,21.73,14.2,0.884,61.51
403.71,400.15,397.14,25.02,23.7,22.62,13.42,0.862,62.64
400.97,396.03,399.77,21.7,21.93,23.61,14.99,0.915,62.42
395.3,405.81,406.71,23.95,22.74,23.2,12.59,0.907,63.66
400.57,396.31,401.11,21.77,20.5,20.41,15.17,0.923,62.64
401.6,399.48,401.42,23.17,22.35,23.09,14.67,0.878,64.58
401.02,394.69,396.86,22.11,22.93,20.48,13.7,0.901,61.88
399.41,400.03,397.07,22.54,23.8,21.7,14.73,0.903,61.68
398.2,400.6,403.29,25.68,22.25,22.9,13.36,0.893,62.78
398.4,400.44,400.54,23.65,22.43,23.24,15.2,0.91,63.64
398.89,399.52,395.19,22.87,25.26,21.88,13.2,0.895,61.83
400.96,394.67,400.08,22.9,20.94,22.83,13.77,0.903,62.7
396.48,399.25,404.25,23.26,23.48,23.34,14.26,0.88,62.83
395.82,399.46,399.16,23.91,22.86,21.78,14.24,0.915,63.37
401.69,404.05,397.88,21.59,22.97,23.37,13.81,0.877,64.02
399.39,406.06,402.49,24.71,21.09,22.73,14.82,0.891,63.06
399.8,396.54,403.2,23.42,20.9,22.27,12.71,0.9,62.01
400.82,397.76,399.09,23.29,23.53,23.29,13.21,0.883,62.15
398.56,399.66,400.24,22.49,24,22.3,13.03,0.939,61.94
397.01,398.58,398.61,23.01,22.16,24.48,13.85,0.905,64.27
394.1,401.47,391.29,23.98,21.8,23.34,13.54,0.901,62.89
400.65,396.52,404.91,22.69,20.35,21.78,12.96,0.886,63.62
397.97,395.67,396.28,24.01,22.09,22.96,14.28,0.878,64.38
403.35,401.8,401.89,23.74,22.8,21.16,14.54,0.899,63.29
405.39,404.38,402.28,24.44,23.55,22.77,14.31,0.887,60.09
396.05,396.54,403.11,23.82,21.77,22.89,13.34,0.895,63.16
400.02,402.26,399.6,22.86,23.93,23.36,13.76,0.892,60.31
395.67,399.19,393.15,23.79,23.13,22.01,14.88,0.903,62.73
397.89,399.29,397.06,25.07,21.96,22.71,14.1,0.902,63.77
399.88,405.01,396.5,24.16,24.38,23.41,15.17,0.89,62.97
395.3,397.5,394.43,21.36,22.44,24.24,14.06,0.893,63.1
399.52,396.7,395.65,21.45,21.73,21.04,14.56,0.911,63.26
399.36,399.5,401.14,23.95,22.15,23.48,13.62,0.931,64.75
399.08,400.18,399.71,21.62,23.86,21.44,13.51,0.893,63.02
400.32,401.61,400.52,24.63,22.12,22.22,15.42,0.897,61.12
398.23,399.12,405.4,22.5,22.91,23.67,14.06,0.896,64.05
398.37,401.42,403.46,21.46,22.57,24.12,13.7,0.915,64.6
397.28,401.24,395.6,23.37,22.57,23.37,15.12,0.89,65.35
403.36,401.31,402.85,22.7,21.45,21.18,12.7,0.907,60.81
405.69,392.19,403.26,20.25,24.62,20.29,14.48,0.909,64.01
404.81,401.98,401.7,24.07,23.51,23.04,13.75,0.916,63.28
401.06,399.84,401.66,20.77,23.86,21.79,13.13,0.925,62.12
397.53,402.7,402.51,22.42,20.35,22.25,15.23,0.887,61.71
396.59,401.23,398.19,22.79,23.44,22.08,14.32,0.887,61.44
401.52,399.21,404.92,22.64,23.06,21.55,14.17,0.883,64.78
400.2,399.42,402.47,23.79,23.05,23.82,14,0.896,62.66
400.06,397.59,396.11,22.42,22.18,21.89,14.66,0.902,62.91
405.77,393.74,405.55,21.29,23.29,21.92,13.38,0.924,63.12
401.42,395.31,401.94,21.67,22.18,25.52,14.74,0.908,62.37
396.85,403.19,408.15,24.02,22.28,23.11,14.79,0.919,62.08
398.05,405.72,400.51,22.48,25.93,23.82,13.5,0.894,61.32
399.72,396.84,397.44,23.66,23.68,24.79,12.5,0.938,63.18
401.99,400.56,402.15,23.6,22.09,24.99,13.37,0.925,62.37
400.96,393.79,395.07,19.97,22.29,24.36,14.15,0.897,63.8
402.58,398.7,395.65,23.01,21.82,23.65,12.91,0.898,62.47
403.26,403.07,397.55,23.38,20.82,24.75,14.27,0.91,63.98
400.9,399.97,399.82,21.92,27.07,24.09,14.62,0.915,62.85
398.89,402.27,401.71,24.39,23.72,22.78,14.72,0.882,62.15
395.48,400.94,402.36,21.4,23.64,21.56,13.63,0.899,64.81
402.9,395.92,403.97,23.53,22.75,23.4,14.17,0.892,64.79
403.63,400.01,399.73,22.3,22.77,24.03,13.6,0.914,63.02
398.98,403,393.26,22.1,22.48,22.82,13.7,0.904,63.71
401.42,398.48,402.24,23.69,22.79,22.04,14.38,0.892,61.18
403.09,400.97,402.52,23.36,23.87,22.41,14.3,0.896,63.34
399.44,407.04,401.88,21.51,21.12,23.19,12.25,0.895,63.37
403.34,398.53,401.33,25.08,23.15,24.83,13.65,0.892,61.76
399.9,397.47,393.17,22.89,23.84,24.27,13.36,0.915,62.81
405.42,404.37,405.56,19.64,21.32,23.04,15.89,0.899,64.51
396.62,399.28,399.21,22.97,22.82,23.1,14.34,0.89,63.65
398.23,394.87,400.72,21.54,24.27,21.55,14.55,0.92,65.59
398.75,402.13,399.6,21.94,20.99,23.43,14.6,0.927,62.09
402.65,400.73,397.91,22.83,22.8,23.26,14.15,0.904,63.47
400.25,405.11,400.09,24.55,21.34,22.36,15.13,0.911,62.59
400.74,395.85,404.26,21.93,21.29,22.92,14.2,0.912,61.87
402.31,399.8,402.54,22.52,23.35,21.77,15.02,0.916,62.92
399.94,401.94,397.85,23.73,24.33,21.98,12.85,0.911,62.93
400.73,404.16,398.71,21.37,22.75,26.17,14.58,0.87,62.62
398.06,402.19,398.46,22.82,24.04,22.39,12.61,0.901,63.4
394.68,399.44,399.02,23.7,22.81,24.76,13.68,0.895,62.93
400.56,394.15,399.91,24.62,23.36,23.84,14.13,0.903,62.5
396.92,399.08,398.5,23.31,22.83,24.62,14.9,0.908,63.8
397.14,399.67,402.8,19.85,21.63,22.36,14.3,0.897,62.38
401,399.85,394.6,24.43,23.2,21.43,13.09,0.931,62.58
394.18,403.17,399.8,20.07,21.45,24.41,14.12,0.903,63.41
401.53,402.71,397.61,22.84,22.15,24.13,13.49,0.893,63.81
400.7,395.4,404.76,22.5,24.43,25.42,13.51,0.903,63.38
400.64,398.22,397.32,24.38,21.7,20.58,14.17,0.866,62.52
403.84,400.9,400.11,23.46,22.36,21.88,13.44,0.893,62.63
400.74,403.74,403.97,23.72,22.31,22.19,14.01,0.905,63.04
404.7,402.56,395.29,23.48,24.56,23.21,14.21,0.884,61.26
401.36,401.25,401.66,24.04,24.19,25.6,13.72,0.916,63.61
397.18,398.99,398.75,23.79,22.87,24.55,14.55,0.901,62.58
401.5,399.19,404.4,25.75,21.86,22.08,14.13,0.887,62.62
398.37,399.01,398.77,23.56,22.93,25.25,15.51,0.909,63.36
396.83,401.4,395.56,24.4,23.34,23.58,15.29,0.899,63.34
402.87,394.4,399.35,23.57,23.37,22.5,13.64,0.877,61.26
404.55,394.37,395.72,24.07,20.69,22.09,14.66,0.9,62.78
396.27,396.79,396.36,24.12,22.84,22.62,14.5,0.899,63.15
392.11,401.79,397.34,22.25,23.64,22.98,14.28,0.902,64.25
393.33,403.3,396.67,23.54,25.24,21.57,14.88,0.895,62.59
404.21,405.23,397.65,22.85,22.97,23.2,13.59,0.89,63.54
399.85,394.49,397.67,24.32,22.12,22.18,14.05,0.884,62.38
396.68,400.18,404.69,24.37,23.31,21.81,14.33,0.905,64.04
401.01,401.7,401.22,22.44,21.84,22.65,13.44,0.913,62.18
396.69,397.11,398.54,22.36,23.64,21.43,14.05,0.875,61.51
402.2,397.4,397.86,25.25,22.59,22.56,14.15,0.907,63.17
404.67,400.6,401.12,22.48,20.81,24.72,14.48,0.903,65.02
397.48,402.41,401.63,24.78,22.24,24.58,13.36,0.883,63.42
401.34,399.71,398.96,22.75,24.41,23.94,13.9,0.901,63.34
401.54,403.16,400.75,22.36,21.15,23.25,15.65,0.896,63.15
401.34,393.56,406.78,22.13,22.99,21.05,13.69,0.877,63.22
400.8,394.74,399.17,24.46,21.24,22.21,13.28,0.899,63.22
399.36,400.39,400.71,23.37,21.45,22.35,14.69,0.919,63.87
397.34,401.25,401.98,24.18,21.87,23.81,12.8,0.93,62.94
397.62,399.84,401.62,24.24,22.46,23.54,15.88,0.899,60.52
405.09,398.27,399.75,23.88,24.24,22.85,13.37,0.9,64.15
402.8,401.81,392.23,23.27,21.18,21.81,14.71,0.894,62.99
404.61,398.21,399.76,24.01,21.54,25.02,15.18,0.893,62.19
399.5,402.68,399.91,22.45,24.49,23.06,14.7,0.906,62.44
396.21,393.32,398.21,24.08,21.53,24.02,13.31,0.912,63.54
400.35,398.24,400.68,24.53,22.57,24.91,14.68,0.885,63.04
403.82,403.51,398.84,23.14,22.69,23.63,14.15,0.92,64.16
397.54,400.01,401.78,21.7,21.91,23.32,14.11,0.885,64.97
402.75,406.16,398.05,21.77,24.42,22.95,14.38,0.909,61.83
404.78,397.57,400.62,24.34,23.86,23.77,14.95,0.912,63.74
399.89,402.8,403.83,21.46,22.48,23.24,14.86,0.892,62.33
405.18,404.15,400.37,22.65,21.87,23.72,12.75,0.895,62.16
400.03,396.31,400.09,23.62,23.72,23.58,13.4,0.88,62.83
397.01,402.65,397.16,23.07,23.64,23.01,14.25,0.883,62.44
404.05,399.54,400.96,21.46,21.37,23.65,14.34,0.895,62.22
398.68,402.17,401.03,20.7,22.56,23.31,15.19,0.928,64.01
400.76,398.92,394.13,22.85,19.66,23.01,12.15,0.883,64.23
400.9,399.14,397.61,24.43,22.05,23.41,12.76,0.924,62.85
401.56,397.03,401.64,20.96,22.01,21.89,12.6,0.894,62.37
397.74,394.9,392.84,22.28,22.58,23.73,14.34,0.901,63.04
399.69,402.38,395.82,22.23,23.43,22.94,13.04,0.894,62.72
400.17,392.97,397.47,24.4,25.58,21.99,14.31,0.904,62.61
401.59,394.88,399.87,23.6,23.88,20.75,14.18,0.907,63.93
395.49,397.15,402.88,22.99,25.12,21.36,13.7,0.897,62.4
400.54,397.88,398.92,22.15,23.74,21.53,14.87,0.913,63.92
404.06,399.15,403.47,22.65,23.18,22.06,12.55,0.895,62.32
398.52,404.66,396.24,21.76,22.79,22.27,15,0.9,63.92
404.3,396.26,399.47,21.17,22.97,21.96,14.77,0.903,63.32
400.26,408.81,401.17,23.87,22.82,25.09,13.49,0.896,62.78
400.98,393.34,398.55,22.36,22.45,22.26,12.9,0.896,63.52
402.68,397.85,401.87,22.57,22.5,24.52,15.25,0.9,64.4
399.45,402.61,400.46,21.63,23.74,24.63,14.32,0.9,64.3
400.97,399.84,407.19,23.01,21.85,24.08,15,0.889,61.63
399.39,405.03,395.88,23.98,22.53,22.35,12.37,0.881,63.24
397.33,399.85,399.06,23.78,22.41,24.13,14.19,0.876,62.06
406.11,392.62,400.02,23.47,23.5,21.28,14.55,0.914,63.83
400.4,398.27,408.32,23.78,20.4,21.84,15.02,0.882,64.55
404.65,401.56,400.51,23.25,22.62,21.99,12.62,0.901,61.86
400.27,402.13,401.3,23.24,23.81,23.4,14.92,0.894,62.27
400.4,395.7,398.19,25.04,24.51,21.4,14.94,0.9,63.66
396.49,401.51,397.43,25.18,20.57,23.75,13.6,0.899,60.67
399.74,401.13,397.64,22.92,22.81,24.4,13.85,0.899,63.04
401.61,403.13,402.77,23.5,23.32,24.3,14.8,0.901,63.56
398.84,398.05,400.11,22.05,23.32,23.03,13.08,0.89,63.51
402.23,398.04,401.66,24.4,23.34,21.54,13.29,0.901,62.6
400.57,404.21,395.55,21.25,24,23.09,15.08,0.941,62.84
396.69,402.07,397.67,22.04,22.11,21.73,13.8,0.889,64.2
397,396.68,399.54,23.73,23.24,24.08,14.31,0.884,62.27
399.76,397.53,405.6,22.13,23.24,22.59,14.02,0.92,64.72
399.05,395.31,400.29,23.98,21.01,24.97,14.21,0.911,63.38
403.16,397.07,397.92,21.48,23.02,24.31,14.82,0.897,64.37
406.07,400.91,400.72,22.3,24.24,23.15,14.67,0.898,63.79
400.18,403.58,397.62,21.73,22.09,23.71,13.5,0.874,63.73
397.92,403.43,401.24,24.28,22.72,23.98,13.58,0.899,62.21
400.55,397,403.64,22.63,23.77,23.06,14.67,0.899,63.96
391.21,398.19,400.6,22.24,24.38,22.43,13.05,0.902,62.56
399.59,399.59,402.56,23.24,23.87,21.83,14.21,0.892,64.48
402.45,398.73,399.32,22.85,23.32,22.61,14.73,0.887,63.11
400.25,396.31,405.61,25.81,22.78,22.54,14.45,0.905,62.37
399.55,401.42,403.72,22.48,23.04,23.77,15.05,0.889,61.07
401.47,400.49,398,23.71,21.45,24.39,13.85,0.913,62.47
401.39,401.74,399.34,24.52,23.59,23.28,13.8,0.919,64.03
398.11,403.09,394.93,24.67,23.13,22.23,13.66,0.889,63.59
395.96,396.26,404.67,22.79,23.21,23.28,13.99,0.895,62.75
403.23,402.19,400.29,23.96,22.67,23.75,13.15,0.901,62.99
397.52,396.22,398.07,23.49,22.45,23,13.38,0.893,63.11
399.26,399.39,395.13,22.95,23.11,22.95,13.6,0.895,62.99
398.83,404.77,395.15,22.76,22.67,22.61,14.43,0.891,61.87
398.36,402.61,402.71,23.08,23.44,23.9,14.3,0.887,63.14
399.57,396.99,401.05,22.12,23.64,23.62,14.9,0.889,63.11
397.1,398.54,393.1,21.7,22.16,21.93,13.69,0.915,63.89
396.83,398.36,398.32,22.79,22.85,21.48,12.46,0.889,65.01
399.83,400.6,401.83,23.37,22.92,24.65,13.36,0.904,63.34
395.39,394.73,397.89,23.13,22.56,21.63,14.59,0.913,63.43
404.35,401.99,398.92,21.32,22.55,24.52,13.56,0.913,63.76
397.96,397.38,403.26,24.06,22.41,22.13,14.83,0.903,61.76
401.65,397.61,405.68,23.16,22.01,24.37,13.31,0.885,62.27
402.27,395.47,406.5,21.75,22.27,21.71,13.74,0.892,61.91
391.68,393.54,401.77,23.1,23.44,23.03,13.57,0.902,64.22
406.17,400.22,398.8,25.35,23.63,23.72,14.39,0.88,63.72
398.37,397.92,401.33,21.89,22.76,23.75,14.1,0.927,63.51
402.23,399.89,398.85,24.04,22.54,21.54,14.31,0.9,60.96
398.82,398.71,400.52,22.09,23.99,21.81,13.58,0.947,63.85
401.18,399.91,396.31,21.57,22.14,21.2,14.33,0.869,61.98
400.09,402.86,397.61,20.96,20.31,23.28,13.03,0.884,63.47
398.54,400.4,398.69,21.35,23.63,21.3,13.32,0.875,63.51
400.99,399.02,398.63,20.96,23.7,21.26,13.13,0.903,63.49
401.64,398.81,398.27,22.65,22.28,24.82,12.89,0.886,64.27
397.36,403.8,399.5,21.98,24.31,24.31,14.43,0.873,62.51
394.25,399.06,393.45,22.84,25.69,22.6,15,0.9,61.4
405.36,400.75,402.47,23.39,20.71,24.05,14,0.891,64.51
404.37,401.32,399.5,21.4,21.15,21.1,13.48,0.896,63.66
402.05,398.65,401.14,25.03,24.3,23.97,14.95,0.882,63.12
402.98,394.11,400.03,23.66,24.17,21.4,13.54,0.887,62.43
396.37,396.98,402.58,21,20.48,22.68,14.28,0.908,62.07
402.06,400.48,398.39,22.2,22.62,22.69,13.52,0.897,62.74
404.68,400.26,405.89,24.5,21.53,22.58,14.03,0.913,62.46
405.19,396.44,397.26,22.87,25.35,23.83,14.41,0.889,63.64
399.26,391.57,398.34,22.14,23.54,23.22,14.22,0.896,64.23
396.72,397.55,397.41,21.95,22.48,22.31,15.19,0.899,62.56
394.92,396.08,399.01,23.46,24.24,22.4,14.59,0.917,62.06
400.7,404.79,398.16,23.39,22.41,25.14,14.15,0.907,63.79
399.23,395.78,401.99,22.77,21.84,21.82,15.11,0.903,63.89
400.43,396.37,399.91,21.81,22.53,22.82,14.03,0.919,62.66
403.67,393.74,397.13,23.39,23.96,23.95,13.66,0.924,62.45
405.66,400.3,396.62,22.77,21.59,22.72,14.73,0.891,63.05
397.01,400.45,399.55,20.49,21.54,23.45,13.63,0.921,62.65
398.91,402.52,397.92,23.47,21.98,21.55,14.27,0.879,63.22
400.48,396.08,397.6,23.66,21.85,23.63,15.64,0.884,65.36
398.03,395.92,401.08,22.39,23.57,22.25,12.22,0.909,62.61
404.69,401.08,399.03,24.53,24.66,20.8,13.29,0.923,62.45
392.81,399.88,404.08,22.68,25.67,23.14,14.56,0.919,63.48
399.94,404.9,398.57,21.9,24.24,22.98,13.72,0.904,63.55
403.08,400.21,400.42,22.31,24.11,21.76,14.36,0.867,64.49
398.33,402.55,403.68,19.66,22.49,22.35,14.11,0.895,61.58
397.7,399.11,400.37,21.1,22.74,22.3,13.58,0.893,65.24
397.98,404.32,401.07,24.92,23.96,21.79,14.01,0.901,61.93
392.79,401.01,403.86,24.74,23.54,24.62,13.8,0.91,61.38
404.53,399.76,395.38,21.83,24.01,23.68,13.32,0.893,63.8
398.73,395.82,404.65,23.84,23.17,23.97,13.76,0.909,63.91
406.9,403.8,398.83,23.43,25.01,23.74,13.84,0.908,62.75
394.76,402.76,398.36,22.66,25.19,22.87,14.45,0.887,61.9
398.18,402.84,397.46,21.69,25.04,23.18,14.6,0.885,64.51
396.29,403.4,404.1,23.86,22.96,23.57,14.42,0.907,63.35
392.67,404.04,400,22.2,23.07,22.04,13.67,0.892,63.67
402.18,396.46,397.58,24.46,23.43,21.79,13.66,0.902,63.63
401.18,399.34,394.75,22.52,22.13,23.38,14.16,0.924,61.09
402.06,398.9,402.21,21.36,21.92,24.63,14.66,0.903,62.68
399.56,402.9,399.13,23.9,23.09,23.05,14.78,0.885,64.99
407.4,396.46,397.3,21.8,21.83,25.35,14.53,0.901,64.08
404.75,403.67,397.85,22.12,22.38,23.48,14.13,0.89,62.17
396.89,402.13,401.85,22.57,22.35,23.32,13.23,0.925,63.65
399.69,399.24,404.61,23.38,22.47,24.69,14.2,0.926,62.8
405.8,400.47,400.42,22.52,22.65,22.96,13.36,0.89,63.6
404.77,395.63,401.88,22.91,24.72,21.84,13.57,0.903,62.54
402.37,397.52,402.98,23.51,22.71,23.15,14.49,0.893,61.95
403.12,402.65,397.53,24.13,23.8,21.53,14.79,0.892,63.55
401.04,396.26,396.88,23.91,23.52,25.54,13.05,0.933,62.57
398.05,397.17,399.55,22.84,20.45,21.68,13.37,0.895,62.88
402.17,403.69,404.89,22.71,20.71,23.92,14.72,0.915,61.91
401.45,402.24,398.67,22.52,21.77,24.73,14.53,0.884,62.95
399.76,401.02,392.19,21.99,23.17,22.81,13.41,0.897,62.99
399.79,396.01,401.16,24.62,24.23,23.94,13.56,0.894,62.68
401.95,394.92,400.58,22.42,21.8,22.83,15.7,0.88,63.61
396.61,404.25,402.96,23.14,22.18,22.62,15.26,0.891,64.74
399.99,396.87,407.17,23.6,25.38,23.88,15.6,0.898,64.64
399.84,399.51,398.75,21.89,22.81,23.17,14.46,0.886,63.71
403.32,405.78,400.35,24.69,24.11,23.36,13.87,0.893,62.67
401.34,403.47,401.68,23.14,22.36,22.94,13.78,0.907,64.76
404.11,403.11,403.54,21.59,26.57,25.11,13.69,0.912,61.55
396.88,402.12,400.55,24.25,22.18,23.75,14.53,0.92,62.92
402.23,400.55,401.04,23.17,23.08,24.98,14.05,0.898,61.47
397.35,396.83,401.77,23.62,22.96,24.52,14.49,0.881,63.46
400.37,403.17,398.11,22.75,22.58,22.68,15.33,0.931,62.81
394.1,395.38,403.2,21.57,24.17,25.34,14.9,0.892,63.5
397.82,402.89,396.87,24.1,24.86,23.65,14.13,0.883,66.28
392.91,403.58,397.05,23.84,23.71,21.4,15.05,0.911,61.76
399.61,401.76,400.4,24.17,23.74,22.21,15.57,0.906,63.11
400.05,402.4,399.07,23.24,22.74,22.72,13.76,0.9,61.81
402.95,401.16,399,21.35,24.32,23.7,13.93,0.902,64.82
401.72,400.22,402.87,22.94,23.33,21.57,14.37,0.881,63.07
397.1,396.71,398.93,21.37,22.64,23.53,14.32,0.892,63.46
402.71,399.22,406.57,21.56,23.1,21.35,14.41,0.914,61.78
404.23,401.93,402.32,23.89,24.54,23.91,13.94,0.908,63.17
402.35,402.42,397.6,23.41,21.58,24.54,14.44,0.909,62.38
390.75,397.31,396.96,24.39,22.48,23.15,13.65,0.89,61.46
397.66,401.04,400.36,21.89,22.72,21.43,14.13,0.866,63.48
403.45,400.26,400.99,21.44,22.59,23.43,15.01,0.905,62.61
403.09,395.82,393.68,22.16,23.58,22.44,14.21,0.877,63.62
402.13,402.92,400.53,24.75,25.11,23.21,13.37,0.912,62.34
400.52,398.43,397.58,24.25,25.59,24.25,14.72,0.907,64.04
399.21,399.65,401.96,22.29,22.87,21.62,14.85,0.915,61.51
405.18,397.91,403.45,24.03,22.6,24.36,13.49,0.906,62.07
398.18,403.47,400.22,25.44,25.47,25.77,13.32,0.892,61.74
401.78,396.8,397.9,23.43,24.66,23.05,13.13,0.881,62.91
400.9,399.2,404.09,20.26,22.63,23.53,13.6,0.893,62.03
400.8,407.37,401.04,24.06,24.51,23.37,14.57,0.933,61.99
403.54,400.06,402.82,22.88,22.53,24.58,15.92,0.886,64.71
402.17,392.82,404.22,22.27,21.31,23.37,14.89,0.921,64.09
402.1,406.74,397.55,23.16,19.89,20.61,13.4,0.893,61.92
396.05,399.7,400.3,21.37,22.26,22.58,13.68,0.906,63.66
402.71,402.31,399.06,23.06,23.31,21.12,13.18,0.907,64.63
399.03,401.95,399.23,23.16,23.83,21.93,14.94,0.905,59.75
399.15,396.41,398.66,22.39,24.04,22.69,15.4,0.914,63.47
397.87,391.3,395.75,21.7,23.54,24.8,12.37,0.915,62.47
401.47,401.73,400.91,23.52,24.03,24.09,14.13,0.932,63.05
398.14,402.09,399.7,21.61,21.24,23.74,14.49,0.895,62.6
400.66,401.96,401.63,24.2,22.76,23.47,12.84,0.899,63.34
396.87,403.07,399.6,22.73,23.2,23.28,13.78,0.874,64.28
399.89,404.46,397.87,21.59,20.72,23.17,13.9,0.882,65.53
396.63,399.1,400.92,21.84,22.98,22.46,14.54,0.883,62.14
404.45,400.7,400.16,21.1,22.73,21.44,12.56,0.891,61.48
398.76,398.92,398.9,21.8,20.93,23.87,14.16,0.907,62.36
403.7,396.61,397.68,20.62,24.52,23.03,14.11,0.897,64.44
404.1,397.43,401.43,24.04,22.94,21.94,12.67,0.908,65.38
401.54,400.65,404.05,22.3,25.27,20.2,12.86,0.899,61.62
397.57,396.11,405.49,22.7,24.35,21.6,14.3,0.89,60.89
398.49,400.51,395.09,23.15,23.88,22.18,14.46,0.908,63.89
405.71,402.07,401.3,22.25,22.72,22.38,13.14,0.919,62.56
403.93,401.97,400.39,24.51,23.9,21.97,12.29,0.895,62.17
402.82,404.99,399.33,23.46,22.06,23.75,14.17,0.914,63.98
398.64,401.83,397.16,23.97,25.67,20.45,13.96,0.889,62.83
402.89,402.72,400.24,23.87,23.01,24.31,13.54,0.905,63.3
397.26,399.68,401.51,21.13,22.57,23.26,15.07,0.91,61.12
398.06,393.16,401.88,23.18,25.54,25.25,13.34,0.892,63.4
405.2,400.38,396.96,23.6,22.76,23.32,14.78,0.898,63.05
398.98,402.44,400.97,21.77,22.17,23.7,13.21,0.891,61.53
398.38,394.08,393.82,23.28,20.65,24.51,14.33,0.901,63.77
400.73,403.38,397.32,22.72,22.16,25.2,14.58,0.903,62.43
399.99,400.78,397.29,22.36,23.37,23.03,14.75,0.909,64.16
401.69,392.86,402.49,24.71,22.01,23.5,12.22,0.898,61.69
404.98,404.41,399.72,21.96,23.03,22.96,14.31,0.884,62.7
397.37,399.79,402.54,22.32,21.85,20.88,14.17,0.888,63.88
399.22,402.24,396.31,23.63,23.45,24.22,12.12,0.883,62.31
400.42,396.29,397.17,22.7,23.86,23.19,15.96,0.903,62.43
404.45,402.2,406.08,21.13,21.51,23.37,13.6,0.924,63.85
400.76,402.61,396.05,25.76,24.04,22.53,13.57,0.899,63.91
395.79,399.02,397.44,21.35,22.19,23.32,14.29,0.92,63.55
405.47,395.13,396.05,24.14,22.69,23.22,14.77,0.9,62.34
395.76,397.74,401.63,21.74,24.55,23.04,14.33,0.906,62.02
397.61,398.85,400.72,23.77,22.55,24.22,14.27,0.909,63.12
397.63,402.65,395.48,23.53,21.92,21.81,13.75,0.9,63.48
408.34,402.19,400.1,23.35,23.72,21.92,13.66,0.868,63.67
